compound_id	category	collection	local_i	main_i	main_d	propensity	availability	purity	logP	logD	logSw	pka_ma	color	stereo	state	cas	chembl_similars	n_similars
438_1230	selected	DC	0.539	0.5822	0.3102	0.4599	148	90%	3.7162	3.6176	-4.3043	7.9939	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1375506, CHEMBL1566864, CHEMBL1451521	3
521_1141	selected	DC	0.4149	0.2692	0.2898	0.3684	7	90%	3.7022	3.7016	-3.8599	10.6195	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL5006070	1
948_1600	selected	DC	0.7058	0.2174	0.5556	0.2559	51	90%	3.6639	3.6638	-3.9046	22.3069	BROWN	RACEMIC MIXTURE	Solid	NA	0	0
700_1928	selected	DC	0.3851	0.2143	0.4564	0.2501	16	90%	3.6438	3.635	-3.6563	13.6652	NOT COLORED	ACHIRAL	Solid	NA	0	0
136_1050	selected	DC	0.5368	0.2018	0.7089	0.2951	22	90%	3.637	3.637	-4.1727	14	BROWN	ACHIRAL	Solid	NA	CHEMBL1346372	1
67_1985	selected	DC	0.2319	0.2259	0.567	0.2919	53	90%	3.6294	3.6278	-3.7366	14	NOT COLORED	ACHIRAL	Solid	NA	0	0
361_1267	selected	DC	0.4534	0.316	0.2802	0.2143	96	90%	3.629	3.628	-3.794	9.906	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1406736	1
693_1708	selected	DC	0.4713	0.6108	0.2613	0.4413	13	90%	3.6218	3.6215	-4.0016	10.453	NOT COLORED	ACHIRAL	Solid	NA	0	0
76_1347	selected	DC	0.5516	0.2069	0.7342	0.3179	3	90%	3.5591	3.559	-4.307	14	BROWN	ACHIRAL	Solid	NA	CHEMBL1433131	1
343_1333	selected	DC	0.3695	0.7817	0.237	0.2026	83	90%	3.5558	3.5549	-3.6387	10.1179	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
542_1441	selected	DC	0.2549	0.233	0.2128	0.3208	4	90%	3.5455	3.5366	-3.4725	24.7728	YELLOW	ACHIRAL	Solid	NA	0	0
838_1830	selected	DC	0.5427	0.6752	0.39	0.5206	170	90%	3.545	3.4545	-3.9284	8.0349	YELLOW	ACHIRAL	Solid	NA	0	0
